Tipologia Programma - Codice;Progetto - Codice;Progetto - Titolo;Articolazione I livello - Codice;Articolazione III livello;Articolazione IV livello;CI - Campo Intervento - Descrizione;FF - Forma di Finanziamento - Descrizione;TT - Tipo di Territorio - Descrizione;AE - Attività Economica - Descrizione;RA - Risultato Atteso - Descrizione;RA - Obiettivo tematico - Descrizione;Provincia - Descrizione;Stato Attuazione Progetto;Costo Ammesso;Importo Impegni ammessi;Importo Pagamenti ammessi
IGJ;FESR-1-1.1.3-010002C;SINCO MEC KOLOR - SOCIETA' PER AZIONI;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altre industrie manifatturiere non specificate;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;91055,71;91055,71;91055,71
IGJ;FESR-1-1.1.3-010003D;CONSORZIO INGAUNO ENERGIA PULITA;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;SAVONA;Concluso;200000;200000;200000
IGJ;FESR-1-1.1.3-010005D;STABILIMENTO FARMACEUTICO CAV. G. TESTA S.R.L.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Altre industrie manifatturiere non specificate;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;SAVONA;Concluso;70767,63;70767,63;70767,63
IGJ;FESR-1-1.1.3-010012D;A.L.B.A. SOCIETA' A RESPONSABILITA' LIMITATA;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altre industrie manifatturiere non specificate;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;156600;156600;156600
IGJ;FESR-1-1.1.3-010018D;SHIPS INFORMATION GENOVA S.A.S. DI RICCARDO BORDO & C.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;29292,39;29292,39;29292,39
IGJ;FESR-1-1.1.3-010021D;STAM S.R.L. (PRIMA STAM S.R.L. C.F. 03691320109);M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;122533,48;122533,48;122533,48
IGJ;FESR-1-1.1.3-010022D;COVIM  SOCIETA' PER AZIONI;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;200000;200000;200000
IGJ;FESR-1-1.1.3-010023D;POSEICO SOCIETA' PER AZIONI;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;200000;200000;200000
IGJ;FESR-1-1.1.3-010025D;MINERARIA LIGURE S.R.L.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Altre industrie manifatturiere non specificate;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;LA SPEZIA;Concluso;125473,85;125473,85;125473,85
IGJ;FESR-1-1.1.3-010030D;S. ERASMO ZINKAL SOCIETA' PER AZIONI;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altre industrie manifatturiere non specificate;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;200000;200000;200000
IGJ;FESR-1-1.1.3-010032D;METALSTYLE S.R.L.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altre industrie manifatturiere non specificate;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;54401,7;54401,7;54401,7
IGJ;FESR-1-1.1.3-010033D;REGIS EUGENIO S.A.S. DI REGIS EUGENIO E C.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Altri servizi non specificati;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;SAVONA;Concluso;180483;180483;180483
IGJ;FESR-1-1.1.3-010035D;I.R.O. RADIOLOGIA S.A.S. DI LUCA REGGIANI E C.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Attività dei servizi sanitari;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;77499,5;77499,5;77499,5
IGJ;FESR-1-1.1.3-010040D;ACIER STEEL S.R.L;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altre industrie manifatturiere non specificate;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;65000;65000;65000
IGJ;FESR-1-1.1.3-010041D;COELME SRL;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altre industrie manifatturiere non specificate;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;89687,05;89687,05;89687,05
IGJ;FESR-1-1.1.3-010043D;GENNARO S.R.L.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altre industrie manifatturiere non specificate;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;179099;179099;179099
IGJ;FESR-1-1.1.3-010044D;SURGIQ S.R.L.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;50250;50250;50250
IGJ;FESR-1-1.1.3-010048D;I.L. INDUSTRIA DI LEIVI  S.R.L.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Altre industrie manifatturiere non specificate;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;62855,43;62855,43;62855,43
IGJ;FESR-1-1.1.3-010051D;CONTAINERS FIDENZA CONSORZIO;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Trasporti e stoccaggio;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;LA SPEZIA;Concluso;50710,34;50710,34;50710,34
IGJ;FESR-1-1.1.3-010056C;NEXTAGE S.R.L.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;32750;32750;32750
IGJ;FESR-1-1.1.3-010058D;FERPLAST SRL;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altre industrie manifatturiere non specificate;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;94877,79;94877,79;94877,79
IGJ;FESR-1-1.1.3-010059D;TAU LOGIC S.R.L.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;61667,92;61667,92;61667,92
IGJ;FESR-1-1.1.3-010067D;INVENIO CONSULTING S.R.L.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;79975;79975;79975
IGJ;FESR-1-1.1.3-010068D;GLOBI HI-TECH S.R.L.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;88050;88050;88050
IGJ;FESR-1-1.1.3-010070D;DRAFINSUB S.R.L.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;168201,87;168201,87;168201,87
IGJ;FESR-1-1.1.3-010073D;ON AIR S.R.L.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;35906,03;35906,03;35906,03
